Flat Bar Bench Press,10,3,(Heavy)
Incline Dumble Bench Press,10,4,(Heavy)
Body Weight Dip,15,3,(Body Weight)
Incline Bech Cable Chest Fly ,12,6,(Normal)
Body Weight Push Up,20,3,(Body Weight)
Barbel Squat ,10,3,(Heavy)
Leg Press,10,4,(Normal)
Dunbel Walking Lunge,10,3,(Normal)
Leg Extenstions,12,3,(Light)
Romainain Deadlifts,8,3,(Heavy)
Standing Dumbbell Curl,10,4,(Normal)
Hammer Curl,10,3,(Normal)
Zottman Curl,8,3,(Normal)
Close Grip Bench Press,10,3,(Normal)
Lying Tricep Extentions,10,3,(Normal)
Bench Dip,15,3,(Body Weight)
Barbel Overhead Should Press,10,3,(Heavy)
Seated Dunbell Shoulder Press,10,3,(Heavy)
Bent-Over Dumbbell Lateral Raise,10,3,(Heavy)
